8-QAM,,32-QAM,,128-QAM,,OFDM,,LTE
0.408248290463863 - 0.408248290463863i,,-0.670820393249937 - 0.223606797749979i,,0.773020682523926 + 0.993883734673619i,,0.773020682523926 + 0.993883734673619i,,0.0328396749319521 + 0.0431058620352368i
-1.22474487139159 - 0.408248290463863i,,-0.223606797749979 - 1.11803398874990i,,-0.773020682523926 + 0.993883734673619i,,-0.773020682523926 + 0.993883734673619i,,0.0295113484884855 - 0.00885847023529737i
-1.22474487139159 - 0.408248290463863i,,1.11803398874990 - 0.670820393249937i,,0.331294578224540 - 0.110431526074847i,,0.331294578224540 - 0.110431526074847i,,0.00285007222404319 + 0.00943876362328790i
-0.408248290463863 + 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,-0.552157630374233 - 0.993883734673619i,,-0.552157630374233 - 0.993883734673619i,,0.0497068918750724 + 0.0100323456564727i
1.22474487139159 + 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,-0.993883734673619 - 0.331294578224540i,,-0.993883734673619 - 0.331294578224540i,,0.0420033408398211 - 0.0416281257969572i
0.408248290463863 + 0.408248290463863i,,0.670820393249937 + 0.670820393249937i,,0.552157630374233 - 0.773020682523926i,,0.552157630374233 - 0.773020682523926i,,0.00393259118862107 - 0.0195834659725284i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 + 0.670820393249937i,,0.773020682523926 - 0.331294578224540i,,0.773020682523926 - 0.331294578224540i,,0.0256720226230539 - 0.00431013451347157i
1.22474487139159 + 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,0.331294578224540 - 1.21474678682331i,,0.331294578224540 - 1.21474678682331i,,0.00330045271859039 - 0.0372170594924308i
-0.408248290463863 + 0.408248290463863i,,-0.670820393249937 - 0.223606797749979i,,-1.21474678682331 + 0.552157630374233i,,-1.21474678682331 + 0.552157630374233i,,-0.0396000121720875 - 0.0163788272004968i
0.408248290463863 - 0.408248290463863i,,0.670820393249937 - 0.670820393249937i,,-0.552157630374233 + 1.21474678682331i,,-0.552157630374233 + 1.21474678682331i,,-0.0185411101158247 - 0.00421342559312603i
0.408248290463863 - 0.408248290463863i,,0.223606797749979 + 1.11803398874990i,,-0.773020682523926 - 0.773020682523926i,,-0.773020682523926 - 0.773020682523926i,,-0.0155250166364635 - 0.0354096476324010i
-1.22474487139159 + 0.408248290463863i,,0.670820393249937 - 0.670820393249937i,,0.110431526074847 - 0.993883734673619i,,0.110431526074847 - 0.993883734673619i,,-0.0263919725718552 - 0.0208632743121088i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 1.11803398874990i,,-0.552157630374233 - 0.993883734673619i,,-0.552157630374233 - 0.993883734673619i,,0.0103218196250972 + 0.000510762235195196i
-1.22474487139159 - 0.408248290463863i,,-0.670820393249937 + 0.223606797749979i,,-0.110431526074847 - 0.552157630374233i,,-0.110431526074847 - 0.552157630374233i,,0.0268531561522729 - 0.0124012388193949i
-1.22474487139159 - 0.408248290463863i,,-1.11803398874990 + 0.223606797749979i,,-1.21474678682331 + 0.552157630374233i,,-1.21474678682331 + 0.552157630374233i,,0.00975548466052948 + 0.000955505657558560i
-0.408248290463863 - 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,0.110431526074847 - 0.331294578224540i,,0.110431526074847 - 0.331294578224540i,,0.0164887482931880 + 0.0194118084113728i
1.22474487139159 + 0.408248290463863i,,-0.223606797749979 + 0.223606797749979i,,-0.993883734673619 + 0.773020682523926i,,-0.993883734673619 + 0.773020682523926i,,0.00759654826886824 + 0.0187456973377799i
-0.408248290463863 + 0.408248290463863i,,0.670820393249937 + 0.670820393249937i,,-0.331294578224540 - 0.773020682523926i,,-0.331294578224540 - 0.773020682523926i,,0.0345740589164358 - 0.0120969623262535i
1.22474487139159 + 0.408248290463863i,,0.670820393249937 + 0.670820393249937i,,0.773020682523926 - 0.552157630374233i,,0.773020682523926 - 0.552157630374233i,,0.0162174555110216 - 0.0350290613396389i
0.408248290463863 - 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,-0.110431526074847 - 0.552157630374233i,,-0.110431526074847 - 0.552157630374233i,,0.0207913735917338 - 0.0229119447175345i
-0.408248290463863 - 0.408248290463863i,,1.11803398874990 + 0.223606797749979i,,0.773020682523926 - 0.773020682523926i,,0.773020682523926 - 0.773020682523926i,,0.0297316012052771 - 0.0403769462599745i
-0.408248290463863 - 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,-0.773020682523926 - 0.993883734673619i,,-0.773020682523926 - 0.993883734673619i,,-0.00493687021179280 - 0.0344058504428118i
1.22474487139159 + 0.408248290463863i,,0.670820393249937 - 1.11803398874990i,,0.773020682523926 + 0.552157630374233i,,0.773020682523926 + 0.552157630374233i,,-0.00563844557126596 + 0.0104724763262575i
-1.22474487139159 + 0.408248290463863i,,0.670820393249937 - 0.223606797749979i,,-0.773020682523926 + 0.331294578224540i,,-0.773020682523926 + 0.331294578224540i,,0.0139393343097056 + 0.0142301419588428i
-0.408248290463863 + 0.408248290463863i,,1.11803398874990 + 0.223606797749979i,,0.331294578224540 + 0.110431526074847i,,0.331294578224540 + 0.110431526074847i,,-0.00165654109486676 + 0.0184002688407781i
-0.408248290463863 - 0.408248290463863i,,-0.223606797749979 - 0.223606797749979i,,0.110431526074847 + 1.21474678682331i,,0.110431526074847 + 1.21474678682331i,,0.00688866012263008 + 0.0408190035276240i
-1.22474487139159 + 0.408248290463863i,,-0.670820393249937 + 1.11803398874990i,,0.110431526074847 - 1.21474678682331i,,0.110431526074847 - 1.21474678682331i,,0.0174939830511190 + 0.0199281794127905i
1.22474487139159 - 0.408248290463863i,,-0.670820393249937 + 0.670820393249937i,,0.552157630374233 + 0.773020682523926i,,0.552157630374233 + 0.773020682523926i,,-0.0141327675982953 + 0.00690020559630568i
1.22474487139159 + 0.408248290463863i,,1.11803398874990 + 0.670820393249937i,,1.21474678682331 + 0.552157630374233i,,1.21474678682331 + 0.552157630374233i,,-0.0210764934389019 + 0.0186482316062689i
-1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,-0.773020682523926 - 0.773020682523926i,,-0.773020682523926 - 0.773020682523926i,,-0.0139829333203264 + 0.000662998470375095i
0.408248290463863 + 0.408248290463863i,,0.223606797749979 + 1.11803398874990i,,-1.21474678682331 - 0.773020682523926i,,-1.21474678682331 - 0.773020682523926i,,-0.0209992445482113 - 0.00499861280488878i
1.22474487139159 - 0.408248290463863i,,1.11803398874990 - 0.223606797749979i,,-1.21474678682331 + 0.110431526074847i,,-1.21474678682331 + 0.110431526074847i,,0.00720118454884353 + 0.00269460352219236i
1.22474487139159 - 0.408248290463863i,,0.223606797749979 + 1.11803398874990i,,-0.552157630374233 + 0.110431526074847i,,-0.552157630374233 + 0.110431526074847i,,0.0345934619841852 - 0.0183499107524731i
-1.22474487139159 - 0.408248290463863i,,0.670820393249937 - 0.223606797749979i,,0.993883734673619 - 0.331294578224540i,,0.993883734673619 - 0.331294578224540i,,0.0305985864288201 - 0.0207402347620054i
1.22474487139159 + 0.408248290463863i,,-1.11803398874990 + 0.670820393249937i,,0.552157630374233 + 1.21474678682331i,,0.552157630374233 + 1.21474678682331i,,0.0356161597901260 - 0.00916122691804007i
-0.408248290463863 + 0.408248290463863i,,1.11803398874990 - 0.223606797749979i,,0.993883734673619 - 0.552157630374233i,,0.993883734673619 - 0.552157630374233i,,0.0214991363430797 - 0.0127779006386123i
-1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,0.110431526074847 - 0.110431526074847i,,0.110431526074847 - 0.110431526074847i,,-0.00710646482942936 + 0.00915962640312773i
-1.22474487139159 - 0.408248290463863i,,0.670820393249937 - 0.670820393249937i,,-0.110431526074847 - 0.552157630374233i,,-0.110431526074847 - 0.552157630374233i,,-0.00193453497060422 + 0.0308714436376619i
1.22474487139159 - 0.408248290463863i,,0.223606797749979 + 0.670820393249937i,,-1.21474678682331 + 0.773020682523926i,,-1.21474678682331 + 0.773020682523926i,,0.00178976411002907 + 0.0265906342550981i
-1.22474487139159 + 0.408248290463863i,,-0.223606797749979 - 1.11803398874990i,,-0.552157630374233 - 1.21474678682331i,,-0.552157630374233 - 1.21474678682331i,,0.00292158965833711 + 0.0354970981013248i
-1.22474487139159 - 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,-0.993883734673619 - 0.331294578224540i,,-0.993883734673619 - 0.331294578224540i,,0.0217914368192600 + 0.0319552265248315i
-1.22474487139159 + 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,0.331294578224540 + 0.552157630374233i,,0.331294578224540 + 0.552157630374233i,,0.0107741087083895 + 0.0108439627473629i
-0.408248290463863 - 0.408248290463863i,,0.223606797749979 + 0.223606797749979i,,0.110431526074847 + 0.993883734673619i,,0.110431526074847 + 0.993883734673619i,,-0.0164268081142550 + 0.0150791739318238i
-0.408248290463863 - 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,0.110431526074847 - 0.331294578224540i,,0.110431526074847 - 0.331294578224540i,,-0.0270040888845470 + 0.0160974275961881i
-0.408248290463863 - 0.408248290463863i,,-0.223606797749979 + 0.670820393249937i,,-0.331294578224540 + 1.21474678682331i,,-0.331294578224540 + 1.21474678682331i,,-0.0450755278630178 + 0.00912055666645903i
1.22474487139159 - 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,-1.21474678682331 - 0.773020682523926i,,-1.21474678682331 - 0.773020682523926i,,-0.0459996515031721 + 0.0196285338591858i
-1.22474487139159 + 0.408248290463863i,,0.670820393249937 - 0.670820393249937i,,0.110431526074847 + 1.21474678682331i,,0.110431526074847 + 1.21474678682331i,,-0.0164530086804563 + 0.0162925288412192i
-0.408248290463863 + 0.408248290463863i,,0.670820393249937 - 0.670820393249937i,,0.552157630374233 - 1.21474678682331i,,0.552157630374233 - 1.21474678682331i,,0.00733408911470311 + 0.00220449124069805i
0.408248290463863 + 0.408248290463863i,,-0.223606797749979 + 1.11803398874990i,,0.552157630374233 - 0.331294578224540i,,0.552157630374233 - 0.331294578224540i,,0.0306855803313931 - 0.00237938859318443i
-1.22474487139159 - 0.408248290463863i,,1.11803398874990 + 0.223606797749979i,,0.331294578224540 - 0.552157630374233i,,0.331294578224540 - 0.552157630374233i,,0.0494974417838746 - 0.0128609406148036i
1.22474487139159 + 0.408248290463863i,,-0.223606797749979 - 0.670820393249937i,,0.993883734673619 - 0.110431526074847i,,0.993883734673619 - 0.110431526074847i,,0.0504580100275039 - 0.0174823119641051i
-1.22474487139159 - 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,0.552157630374233 - 0.552157630374233i,,0.552157630374233 - 0.552157630374233i,,0.0509592282388269 - 0.0153515868713131i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,0.110431526074847 - 1.21474678682331i,,0.110431526074847 - 1.21474678682331i,,0.0457297089461722 - 0.0154509540510250i
-1.22474487139159 - 0.408248290463863i,,1.11803398874990 + 0.670820393249937i,,-0.552157630374233 - 0.331294578224540i,,-0.552157630374233 - 0.331294578224540i,,0.0423763758743300 - 0.00604631277242559i
-1.22474487139159 + 0.408248290463863i,,1.11803398874990 + 0.670820393249937i,,0.993883734673619 + 0.773020682523926i,,0.993883734673619 + 0.773020682523926i,,0.0463766410840065 - 0.00677674539911268i
-1.22474487139159 + 0.408248290463863i,,1.11803398874990 + 0.223606797749979i,,0.331294578224540 + 0.552157630374233i,,0.331294578224540 + 0.552157630374233i,,0.0301608067707691 - 0.00821087427239949i
-0.408248290463863 - 0.408248290463863i,,-0.223606797749979 + 1.11803398874990i,,0.773020682523926 + 0.331294578224540i,,0.773020682523926 + 0.331294578224540i,,0.0205076458301550 + 0.0100804279661072i
-1.22474487139159 - 0.408248290463863i,,-1.11803398874990 - 0.670820393249937i,,0.110431526074847 + 0.552157630374233i,,0.110431526074847 + 0.552157630374233i,,0.0216973506599709 + 0.00790426362189421i
1.22474487139159 + 0.408248290463863i,,-0.223606797749979 - 0.223606797749979i,,-0.993883734673619 - 0.773020682523926i,,-0.993883734673619 - 0.773020682523926i,,-0.00171559169933842 + 0.00672433624121046i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 0.223606797749979i,,-0.331294578224540 - 0.552157630374233i,,-0.331294578224540 - 0.552157630374233i,,4.99504675723367e-05 + 0.0265032264711015i
-1.22474487139159 + 0.408248290463863i,,-1.11803398874990 - 0.223606797749979i,,0.331294578224540 - 0.993883734673619i,,0.331294578224540 - 0.993883734673619i,,0.0193942772855106 + 0.00491465432373361i
-1.22474487139159 - 0.408248290463863i,,0.670820393249937 + 1.11803398874990i,,0.773020682523926 - 1.21474678682331i,,0.773020682523926 - 1.21474678682331i,,-0.00311356186428009 - 0.0178279652318395i
-1.22474487139159 + 0.408248290463863i,,-0.223606797749979 + 0.223606797749979i,,-0.993883734673619 + 0.110431526074847i,,-0.993883734673619 + 0.110431526074847i,,-0.00645335793991398 - 0.00771559322722539i
-0.408248290463863 - 0.408248290463863i,,-0.670820393249937 + 0.223606797749979i,,-0.773020682523926 - 0.110431526074847i,,-0.773020682523926 - 0.110431526074847i,,-0.000993890464668349 - 0.0337074761784591i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 + 1.11803398874990i,,-0.552157630374233 + 0.331294578224540i,,-0.552157630374233 + 0.331294578224540i,,-0.0460137623376541 - 0.0401223157794196i
-0.408248290463863 - 0.408248290463863i,,0.670820393249937 - 0.223606797749979i,,1.21474678682331 + 0.331294578224540i,,1.21474678682331 + 0.331294578224540i,,-0.0542206671243257 + 0.00449744065618161i
-1.22474487139159 - 0.408248290463863i,,0.223606797749979 + 1.11803398874990i,,-0.773020682523926 - 0.993883734673619i,,-0.773020682523926 - 0.993883734673619i,,-0.0341356337517618 + 0.00623639099142852i
-1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 1.11803398874990i,,-0.552157630374233 + 0.110431526074847i,,-0.552157630374233 + 0.110431526074847i,,-0.0574065220660728 + 0.0137499237420419i
-0.408248290463863 + 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,-0.331294578224540 - 0.110431526074847i,,-0.331294578224540 - 0.110431526074847i,,-0.0422103502953572 + 0.0520589701153130i
-0.408248290463863 + 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,-0.773020682523926 + 0.993883734673619i,,-0.773020682523926 + 0.993883734673619i,,-0.0110379979169243 + 0.0253660188779731i
0.408248290463863 - 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,0.993883734673619 - 0.110431526074847i,,0.993883734673619 - 0.110431526074847i,,-0.0396835976645182 - 0.00152205622683122i
1.22474487139159 - 0.408248290463863i,,0.223606797749979 - 1.11803398874990i,,0.110431526074847 + 0.993883734673619i,,0.110431526074847 + 0.993883734673619i,,-0.0367083593280373 + 0.0119595148563882i
0.408248290463863 - 0.408248290463863i,,0.223606797749979 + 0.670820393249937i,,-0.331294578224540 - 1.21474678682331i,,-0.331294578224540 - 1.21474678682331i,,-0.0132315233999359 - 0.0175962646280990i
-0.408248290463863 + 0.408248290463863i,,0.223606797749979 + 1.11803398874990i,,1.21474678682331 + 0.331294578224540i,,1.21474678682331 + 0.331294578224540i,,-0.0352379974816475 - 0.0256964514081864i
-1.22474487139159 - 0.408248290463863i,,-0.223606797749979 - 0.223606797749979i,,0.331294578224540 - 0.552157630374233i,,0.331294578224540 - 0.552157630374233i,,-0.0196043321705723 + 0.0166102063815275i
-0.408248290463863 + 0.408248290463863i,,0.670820393249937 - 0.670820393249937i,,0.773020682523926 - 0.110431526074847i,,0.773020682523926 - 0.110431526074847i,,0.0113440119082493 + 0.0184756807084671i
1.22474487139159 - 0.408248290463863i,,0.223606797749979 - 1.11803398874990i,,0.110431526074847 - 0.773020682523926i,,0.110431526074847 - 0.773020682523926i,,-0.0123704401752419 + 0.0266714240593689i
-1.22474487139159 + 0.408248290463863i,,-0.670820393249937 + 0.670820393249937i,,-0.993883734673619 + 0.552157630374233i,,-0.993883734673619 + 0.552157630374233i,,-0.0178228649642424 + 0.0611839679401776i
1.22474487139159 + 0.408248290463863i,,0.223606797749979 - 0.670820393249937i,,-0.110431526074847 + 0.773020682523926i,,-0.110431526074847 + 0.773020682523926i,,-0.0140050384103727 + 0.0450798233301656i
-1.22474487139159 - 0.408248290463863i,,-0.670820393249937 - 1.11803398874990i,,-0.110431526074847 + 0.331294578224540i,,-0.110431526074847 + 0.331294578224540i,,-0.0458324870734154 + 0.0255138087357490i
1.22474487139159 + 0.408248290463863i,,1.11803398874990 - 0.670820393249937i,,-1.21474678682331 + 0.773020682523926i,,-1.21474678682331 + 0.773020682523926i,,-0.0429538775114082 + 0.0299808269311891i
0.408248290463863 + 0.408248290463863i,,0.670820393249937 - 0.670820393249937i,,-0.773020682523926 + 0.110431526074847i,,-0.773020682523926 + 0.110431526074847i,,-0.0130497365709866 + 0.00295411539415526i
0.408248290463863 + 0.408248290463863i,,-0.670820393249937 + 0.670820393249937i,,-0.773020682523926 - 0.110431526074847i,,-0.773020682523926 - 0.110431526074847i,,-0.00759052844458598 - 0.0166590650228922i
0.408248290463863 - 0.408248290463863i,,0.223606797749979 + 1.11803398874990i,,0.773020682523926 + 1.21474678682331i,,0.773020682523926 + 1.21474678682331i,,0.0105540695214963 - 0.00460201217747786i
-1.22474487139159 + 0.408248290463863i,,1.11803398874990 + 0.223606797749979i,,0.552157630374233 + 0.552157630374233i,,0.552157630374233 + 0.552157630374233i,,0.0321197271048928 - 0.00891134444837710i
0.408248290463863 + 0.408248290463863i,,-1.11803398874990 + 0.670820393249937i,,0.773020682523926 + 0.993883734673619i,,0.773020682523926 + 0.993883734673619i,,0.0183907194249719 - 0.0126804489308094i
0.408248290463863 + 0.408248290463863i,,1.11803398874990 + 0.670820393249937i,,-0.331294578224540 + 0.773020682523926i,,-0.331294578224540 + 0.773020682523926i,,0.00661901390325887 + 0.00370512211855682i
0.408248290463863 + 0.408248290463863i,,1.11803398874990 + 0.670820393249937i,,0.110431526074847 + 1.21474678682331i,,0.110431526074847 + 1.21474678682331i,,0.0144022439577417 + 0.00120313827455971i
-0.408248290463863 + 0.408248290463863i,,-0.223606797749979 - 1.11803398874990i,,-0.552157630374233 + 0.993883734673619i,,-0.552157630374233 + 0.993883734673619i,,0.0111416954261165 - 0.0181048309978541i
